NUMBER;EXCAVATION;LOCATION;TYPE;exterior_diam;inside_diam;rim_h;rim_w;shape_w;rim_inside_h;rim_w_2;protruding_rim;site
1;Las delicias (Oriane 2015);Exhibition boxes;1;150;120;44;24;11;40;9;40;Las Delicias
2;Las delicias (Oriane 2015);Exhibition boxes (n. 30);1;140;102;46;30;7;45;16;39;Las Delicias
3;Las delicias (Oriane 2015);Exhibition boxes (n. 6);1;150;110;45;25;11;41;22;36;Las Delicias
4;Las delicias (Oriane 2015);Exhibition boxes (3038 n.30);2;180;90;35;40;14;28;35;9;Las Delicias
5;Las delicias (Garcia V. 1997);C. IV 009;1;130;86;44;27;12;36;17;32;Las Delicias
6;Las delicias (Garcia V. 1997);D 97 CO 054;unknown;150;88;30;32;12;18;22;16;Las Delicias
7;Las delicias (Garcia V. 1997);LD 97 006;unknown;150;110;44;23;11;30;13;10;Las Delicias
8;Las delicias (Garcia V. 1997);LD 97 056;2;175;87;29;48;10;20;44;18;Las Delicias
9;Las delicias (Oriane 2015);Zona 3 n. 29;unknown;150;80;30;38;11;25;34;23;Las Delicias
10;Las delicias (Oriane 2015);LD 15 US 3057-25 Z.3 N. 29;unknown;145;94;48;28;11;30;25;19;Las Delicias
11;Las delicias (Oriane 2014);L14 ZONA 1 MR 1209;unknown;130;84;35;33;7;30;34;17;Las Delicias
12;Las delicias (Oriane 2013);L13 2048 N.10;2;174;90;29;39;10;28;37;16;Las Delicias
13;Las delicias (Oriane 2013);L13 2048 N.14;2;180;95;29;40;9;25;37;13;Las Delicias
14;Las delicias (Oriane 2013);L13 2048 N.12;2;170;90;32;42;11;23;39;11;Las Delicias
15;Las delicias (Oriane 2013);L13 2048 N.13;2;182;90;30;42;9;29;38;12;Las Delicias
16;Las delicias (Oriane 2013);L13 2048 ;2;175;93;30;41;7;24;38;17;Las Delicias
17;Las delicias (Oriane 2013);L13 2048 ;2;170;86;31;41;9;29;39;14;Las Delicias
18;Las delicias (Oriane 2015);L15 US 1516 (ánfora);2;175;83;33;37;9;30;35;13;Las Delicias
19;Las delicias (Oriane 2015);L15 US 1516 (ánfora);2;170;79;35;40;10;27;37;14;Las Delicias
20;Las delicias (Oriane 2015);L15 US 1516 (bassines);2;170;80;38;38;9;28;34;20;Las Delicias
21;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;170;85;35;41;9;28;39;17;Las Delicias
22;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;180;90;34;40;11;33;36;8;Las Delicias
23;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;173;87;35;39;10;27;35;18;Las Delicias
24;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;176;90;32;37;10;28;33;11;Las Delicias
25;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;170;80;28;39;11;27;33;19;Las Delicias
26;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;180;90;32;40;7;29;29;13;Las Delicias
27;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;175;85;34;41;8;29;33;14;Las Delicias
28;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;170;90;38;37;10;25;30;16;Las Delicias
29;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;175;100;35;42;9;30;33;16;Las Delicias
30;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;170;85;36;42;8;28;35;14;Las Delicias
31;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;180;90;35;42;7;30;34;17;Las Delicias
32;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;174;86;32;36;6;25;28;14;Las Delicias
33;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;180;90;33;37;8;30;33;17;Las Delicias
34;Las delicias (Oriane 2015);LD 15 US 3039 (Dr. 20);2;174;80;34;38;9;28;35;16;Las Delicias
35;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1376;2;170;90;33;46;9;28;35;14;Las Delicias
36;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1309;2;180;90;34;39;9;34;34;12;Las Delicias
37;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1345;2;180;90;34;42;12;31;37;15;Las Delicias
38;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27  1358;2;180;100;32;35;11;28;26;14;Las Delicias
39;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1322;2;170;80;29;39;8;30;33;13;Las Delicias
40;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1329;2;174;100;33;38;8;27;36;8;Las Delicias
41;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 ;2;170;90;32;39;8;32;34;8;Las Delicias
42;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1388;2;180;90;29;38;10;25;32;9;Las Delicias
43;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1324;2;186;90;35;42;11;24;35;11;Las Delicias
44;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1350;2;188;100;29;45;7;29;41;7;Las Delicias
45;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1311;2;180;100;30;38;7;28;36;12;Las Delicias
46;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1321;2;180;110;30;35;10;26;26;11;Las Delicias
47;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 1385;2;176;96;30;41;8;27;35;8;Las Delicias
48;Las delicias (Garcia V. 1997);D 97 CII UE 3 CAJA 27 ;2;170;94;31;35;7;25;32;5;Las Delicias
