sex,minAge,age,country,location,LHML,LHEB,LHHD,LHMLD,LHAPD,RHML,RHEB,RHHD,RHMLD,RHAPD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFAB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFAB,RFHD,RFMLD,RFAPD,LTML,LTPB,LTMLD,LTAPD,RTML,RTPB,RTMLD,RTAPD,BIB,LIBL,RIBL,LAcH,RAcH
female,18,18-22,Andaman Islands,Andaman Islands,275.5,47,33.8,14.6,14.83,273,48.5,34.34,15.13,15.82,221,11.31,8.84,220,11.6,9.14,402,400.5,64,58.42,37.67,19.21,24.12,406,403,64,58.5,37.54,19.76,23.61,341,59,17.11,21.06,340,58,17.61,20.23,197,,,42.73,42.05
male,20,20-22,Andaman Islands,Andaman Islands,276,52,38.89,20.22,18.89,275,52,39.73,18.05,18.04,220,12.84,10.09,222,13.1,10.04,387.5,385,68,64.29,38.37,21.34,23.24,384,381,70,65.42,38.16,21.32,23.81,324.5,62,18.82,22.7,324,63,18.04,22.67,195,105,106,44.39,44.11
male,25,25-30,Andaman Islands,Andaman Islands,279,52,38.63,16.62,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,354.5,69,19.75,25.21,354,66,19.96,23.08,222,133,133,44.08,44.15
female,25,25-30,Andaman Islands,Andaman Islands,277,51,36.51,17.01,18.07,278,50,36.46,18.64,18.34,221,10.3,10.02,222,11.31,9.6,382,380,67,57.27,37.16,24.53,24.12,381.5,379,66,56.97,36.42,27.7,26.22,322.5,62,21.42,23.5,320.5,60,22.28,23.72,213.5,127,124,41.95,41.61
female,25,25-30,Andaman Islands,Andaman Islands,264,50,32.64,15.55,16.85,264,52,33.68,15.9,16.82,213,11.74,8.98,216,12.01,9.35,393,390,63,58.92,34.22,21.01,22.84,,,,,,,,332,59,16.71,19.71,,,,,198,117,118,39.27,40.4
female,25,25-30,Andaman Islands,Andaman Islands,251,41,33.69,12.96,13,255,42,34.08,13.76,14,198,9.47,7.97,198,10.2,7.97,377,373,61,56.38,34.11,17.9,19.9,371.5,368.5,60.5,58.1,34.17,18.58,20.31,309,55,16.1,19.09,313,56,16.38,19.15,184,,,39.81,40.4
male,30,30-40,Andaman Islands,Andaman Islands,276,52.5,40.42,16.8,16.23,283,54,40.5,16.75,17.43,228,11.43,10.22,230,10.43,9.1,399,394,70,59.55,40,19.91,25.3,398,392,69.5,61.15,40.54,20.53,25.49,327,63.5,19.13,24.53,328,64,18.8,22.5,220,130,130,43.79,45.16
male,30,30-35,Andaman Islands,Andaman Islands,260,50,37.42,17.72,17.07,262,50,38.06,16.62,18.83,214,12.13,9.74,215,12.13,9.83,365,362,68,62.17,36.64,20.85,24.66,362,360,68,59.7,36.28,20.47,24.41,312,61,15.86,23.16,311,60,17.8,22.01,207,124,122,42.42,42.59
male,20,20-25,Argentina,Argentina,335,61,46.02,21.29,17.88,341,63,47.76,20.7,19.19,266,14.34,11.26,261,14.34,13.74,490,487,84,71.73,46.32,28.29,29.05,491,488,85,71.11,47.01,27.67,29.22,,,,,405,75,22.62,25.46,269.5,154,155,51.87,51.53
female,20,20-22,Argentina,Argentina,304,54,40.8,15.53,18.42,306,54,41.53,16.1,18.76,234.5,12.1,10.46,237,12.88,10.78,426.5,418.5,74,63.74,41.31,23.35,25.04,426,420,74,65.01,42.07,23.03,26.49,353,70,18.3,22.17,352.5,68,18.53,21.21,245,143,142,45.96,47.51
